episode,greedy_reward
250320,-2066.9233
250321,-2066.9233
250322,-2150.8300
250323,-2157.8856
250324,-2100.9222
250325,-2171.1233
250326,-2069.2239
250327,-2114.5261
250328,-2138.3322
250329,-2132.2478
250330,-2084.5083
250331,-2240.8856
250332,-2094.4233
250333,-2064.9589
250334,-2149.6922
250335,-2112.2206
250336,-2147.4656
250337,-2208.3522
250338,-2200.2828
250339,-2322.8300
250340,-2068.0878
250341,-2071.2711
250342,-2203.2694
250343,-2066.9567
250344,-2110.8256
250345,-2175.6911
250346,-2165.4783
250347,-2373.9411
250348,-2065.5878
250349,-2073.5356
250350,-2207.5778
250351,-2215.5078
250352,-2207.5978
250353,-2211.4867
250354,-2210.6467
250355,-2194.3917
250356,-2398.3644
250357,-2189.4856
250358,-2204.7611
250359,-2194.0000
250360,-2439.5689
250361,-2206.5600
250362,-2440.7361
250363,-2440.7361
250364,-2299.5656
250365,-2199.8300
250366,-2199.4967
250367,-2199.4967
250368,-2247.0922
250369,-2233.0344
250370,-2180.5878
250371,-2232.3733
250372,-2234.2122
250373,-2346.5550
250374,-2232.5456
250375,-2218.1278
250376,-2231.7289
250377,-2236.8567
250378,-2220.8283
250379,-2228.7450
250380,-2432.8156
250381,-2429.2044
250382,-2386.1022
250383,-2356.4411
250384,-2198.2356
250385,-2255.8844
250386,-2395.0522
250387,-2319.2189
250388,-2250.3300
250389,-2588.7478
250390,-2326.7189
250391,-2350.0778
250392,-2300.3300
250393,-2309.7744
250394,-2330.0522
250395,-2260.2506
250396,-2211.1667
250397,-2263.8078
250398,-2270.0517
250399,-2335.8567
250400,-2255.8356
250401,-2124.2189
250402,-2212.6411
250403,-2153.2356
250404,-2154.2800
250405,-2154.2800
250406,-2153.4411
250407,-2153.8856
250408,-2153.1689
250409,-2154.0578
250410,-2154.0578
250411,-2154.0578
250412,-2154.0578
250413,-2153.6633
250414,-2153.6633
250415,-2153.6633
250416,-2154.0578
250417,-2153.2356
250418,-2153.8856
250419,-2153.2356
250420,-2153.0522
250421,-2158.8856
250422,-2159.4411
250423,-2065.8589
250424,-2155.8856
250425,-2065.5811
250426,-2161.4967
250427,-2065.8589
250428,-2067.2478
250429,-2066.9700
250430,-2176.6422
250431,-2170.9978
250432,-2169.4700
250433,-2181.6922
